Тема,Описание,Точка отказа,Серийный номер,Тип оборудования
Гарантия,Будьте добры сообщить адрес сервисного центра в г.Липецке,Диск,С222091091,Ноутбук
Ошибки диска Enclosure=4:Disk=49 dd501,"Коллеги, добрый день.
Прошу открыть заявку по неисправному диску на Data Domain
sysadmin@dd501-p1(active:1)# alerts show current
Id      Post Time                  Severity   Class             Object                Message
-----   ------------------------   --------   ---------------   -------------------   ------------------------------------------------------------------------
m0-40   Sun Aug 25 21:21:19 2024   CRITICAL   HardwareFailure   Enclosure=4:Disk=49   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
-----   ------------------------   --------   ---------------   -------------------   ------------------------------------------------------------------------
There is 1 active alert.
sysadmin@dd501-p1(active:1)# system show serialno
Serial number: CKM00194300974",Диск,CKM00194300974,Сервер
СИЛА НК2-1404  // Не работает зарядное устройство Type-C,"Не работает зарядное устройство Type-C СИЛА НК2-1404 
Ноутбук от другого устройста заряжается корректно.",Блок питания,C223010757,Ноутбук
вылетели 9 дисков и перезагрузилась резервная нода dd503,"Прошу открыть кейс.
Вылетели 9 дисков на датадомене dd503
Хронология:
Вылетели 2 диска,
перезагрузилась пассивная нода,
вылетели еще 7 дисков.
Дополнительно отобразилось уведомление <Active tier is low on spares>.
Все произошло в течении получаса.
@dd503-p1(active:1)# system show serial
Serial number: CKM01212505744
@dd503-p1(active:1)# system show model
Model number: DD9900 E
@dd503-p1(active:1)# alerts show current
Id      Post Time                  Severity   Class             Object                Message
-----   ------------------------   --------   ---------------   -------------------   ------------------------------------------------------------------------
m0-15   Wed Jan 31 22:17:26 2024   CRITICAL   HardwareFailure   Enclosure=2:Disk=59   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
m0-16   Wed Jan 31 22:17:27 2024   CRITICAL   HardwareFailure   Enclosure=4:Disk=42   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
m0-17   Wed Jan 31 22:33:23 2024   CRITICAL   HardwareFailure   Enclosure=2:Disk=2    EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
m0-18   Wed Jan 31 22:33:25 2024   CRITICAL   HardwareFailure   Enclosure=3:Disk=6    EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
m0-19   Wed Jan 31 22:33:26 2024   CRITICAL   HardwareFailure   Enclosure=3:Disk=17   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
m0-20   Wed Jan 31 22:33:28 2024   CRITICAL   HardwareFailure   Enclosure=3:Disk=32   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
m0-21   Wed Jan 31 22:33:29 2024   CRITICAL   HardwareFailure   Enclosure=3:Disk=50   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
m0-22   Wed Jan 31 22:33:30 2024   CRITICAL   HardwareFailure   Enclosure=3:Disk=58   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
m0-23   Wed Jan 31 22:33:31 2024   CRITICAL   HardwareFailure   Enclosure=4:Disk=24   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
m0-24   Wed Jan 31 22:33:34 2024   WARNING    Storage           Tier=1                EVT-STORAGE-00013: Active tier is low on spares.
-----   ------------------------   --------   ---------------   -------------------   ------------------------------------------------------------------------
There are 10 active alerts.
@dd503-p1(active:1)# enclosure show summary
Enclosure   Model No.   Serial No.       State    OEM Name   OEM Value   Capacity
---------   ---------   --------------   ------   --------   ---------   --------
1           DD9900 E    CNWS30011F0045   Online                          4 Slots
2           DS60        52J5L83          Online                          60 Slots
3           DS60        28J5L83          Online                          60 Slots
4           DS60        91J5L83          Online                          60 Slots
5           DS60        42J5L83          Online                          60 Slots
6           FS25        1Y85L83          Online                          25 Slots
---------   ---------   --------------   ------   --------   ---------   --------
6 enclosures present.
@dd503-p1(active:1)# disk show state
Enclosure        Disk
  Row(disk-id)    1  2  3  4  5  6  7  8  9  10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
--------------   ----------------------------------------------------------------------------
1                 s  .  .  .
2                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  s |.  .  s |.  F  . |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  F  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
3                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  F  . |.  .  s |.  .  s |F  .  R |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  R  . |
     C(25-36)    |.  .  . |.  .  . |.  F  . |.  .  . |
     B(13-24)    |.  .  . |.  F  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  F |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
4                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  s |.  .  s |.  .  . |
     D(37-48)    |.  .  . |.  .  F |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  F |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
5                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |-  -  - |-  -  - |-  -  - |
     D(37-48)    |.  .  . |-  -  - |-  -  - |-  -  - |
     C(25-36)    |.  .  . |-  -  - |-  -  - |-  -  - |
     B(13-24)    |.  .  . |-  -  - |-  -  - |-  -  - |
     A( 1-12)    |.  .  . |-  -  - |-  -  - |-  -  - |
                 |--------|--------|--------|--------|
6                 .  .  .  .  .  .  .  .  .  .  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -
--------------   ----------------------------------------------------------------------------
Legend   State                          Count
------   ----------------------------   -----
.        In Use Disks                   188
s        Spare Disks                    10
R        Spare (reconstructing) Disks   2
F        Failed Disks                   9
-        Not Installed Disks            60
------   ----------------------------   -----
Total 209 disks
Disk    Disks       
__________________________________
Полный текст обращения смотри в ""Оригинал письма.eml""",Диск,CKM01212505744,СХД
HK2-1404,"Добрый день! 
 Прошу взять в гарантийный ремонт ноутбук СИЛА нк2-1404 C223013523 
 Неисправности: 
 Повреждена матрица ноутбука(видео прикладываю)",Матрица,C223013523,Ноутбук
СИЛА HK-1404 // Рябит экран,"Добрый день! Рябит экран, видео в описании",Матрица,C223012603,Ноутбук
гарантийный ремонт.Отпала клавиша,"Добрый день! 
 Ноутбук сила HK2-1404, sn C223013450 . 
 Отпала клавиша «8». Фото приложено 
 Прошу взять в гарантийный ремонт.",Клавиатура,C223013450,Ноутбук
Звук и микрофон не активны на ноутбуке Сила ruc223012961,перестали работать Звук и микрофон не активны на ноутбуке Сила ruc223012961,Материнская плата,c223012961,Ноутбук
вопрос по ремонту,"Добрый день!
В прошлом году покупали у Вас ноутбуки в количестве 20 
штук.
На данный момент на трех из них есть проблемы.
На первом не работает вентилятор, на втором проблема с экраном (скрин во 
вложении), на третьем тоже вентилятор + не переустанавливается ОС, 
ошибка при копировании установочных файлов.
Какие наши дальнейшие действия?
--",Матрица,C223012127,Ноутбук
Ноутбук СИЛА HK1-1427/ i5-1135G7/16G/m.2 512Gb/С111120102/инв. № 525600,"При подключение USB наушников, замедляется работа ПК и начинается самопроизвольно меняться раскладка языка на клавиатуре. Обновление драйверов ПК проблема не устранима, с другими наушниками ситуация такая же",Консультация,С111120102,Ноутбук
Не включается дисплей,Не включается дисплей,Материнская плата,C223093407,Ноутбук
HK2-1404 // Проблема с матрицей и портом type-c,"Добрый день!
На дисплее время от времени появляются полосы, иногда проходит само, если нет, то помогает перезагрузка.
Ещё не работает один порт type-c.",Материнская плата,C223012100,Ноутбук
СИЛА НК2-1404//нет звука,Будьте добры сообщить адрес сервисного центра в г.Липецке,Консультация,C222091827,Ноутбук
СИЛА НК2-1404 // Погнутость крышки // С223012632,"Добрый день, коллеги. Обнаружили погнутость крышки, фото во вложении. Хотим передать на диагностику",Корпус,C223012632,Ноутбук
Ноутбук СИЛА HK-1404 не заряжается с type-c портов,"Laptops: ноутбук не заряжается. Проверено несколько зарядок, работающих на других ноутбуках.
SILA NK2-1404 i7	C223011046",Материнская плата,C223011046,Ноутбук
Ноутбук Сила НК2-3404,"Добрый день.
Нам поступили ноутбуки Сила НК2-3404 и нужны драйвера для корпоративной Win 10 Версия 22H2",Консультация,"C223091216, C223091307, C223091468, C223091751, C223090099, C223090635, C223091364, C223091547, C223091736, C223091275, C223091861, C223090091, C223090302, C223090269, C223090214",Ноутбук
Ноутбук Сила HK2-3404 (SN: ),"Ноутбук Сила HK2-3404 (SN: C223091736)
Из коробки  индикация не реагирует на подключение блока питания.
Не включается.
Проверено несколько БП, оба порта USB type C",Материнская плата,C223091736,Ноутбук
Не включается SILA LLC HK2-3404,"Добрый день!
Подскажите пожалуйста что может, имею ПК SILA LLC HK2-3404 №C223094534.
Села батарейка при работе в автономном режиме, поставил на зарядку нажал на запуск запустился а потом выключился и больше не включается.
И не понятно идёт заряд или нет, что можно сделать",Материнская плата,C223094534,Ноутбук
СИЛА HK2-1404// Не работает зарядное устройство,Перестало работать зарядное устройство. С другим работает корректно,Блок питания,C223100876,Ноутбук
"Полосы на экране. полосы могут появиться не сразу, а через некоторое время после включения","Полосы на экране. полосы могут появиться не сразу, а через некоторое время после включения.",Матрица,C223090696,Ноутбук
СХД CX4-1127-00,"Добрый день. 
Прошу открыть кейс по неисправному диску с серийным номером CKM00194301861.",Диск,CKM00194301861,СХД
СХД CX4-1127-00,"Добрый день. 
Прошу открыть кейс по неисправному диску с серийным номером CKM00194301861. 
Заранее благодарен.",Диск,CKM00194301861,СХД
Проблемы с СХД,Вылетели 9 дисков и перезагрузилась резервная система.,Диск,CKM01212505744,СХД
СИЛА CX-1015-12 // HDD fault // E213120001,"Вышел из строя диск, пришедший на замену по гарантии.",Диск,E213120001,СХД
СХД CX4-1127-00,Добрый день. Прошу открыть кейс по неисправности диска с серийным номером CKM00194301861.,Диск,CKM00194301861,СХД
СХД CX4-1127-00,"Добрый день, прошу открыть кейс по неисправности диска с серийным номером CKM00194301861.",Диск,CKM00194301861,СХД
Проблемы с оборудованием,"Несколько дисков вышли из строя, и система перезагрузилась.",Диск,CKM01212505744,СХД
Сервер СИЛА СР2-5422,"Добрый день.
На сервере вышел из строя сетевой модуль.",SFP модуль,D252110012,Сервер
Проблемы с оборудованием,"Несколько дисков вышли из строя, и система перестала функционировать.",Диск,CKM01212505744,СХД
Ошибка диска Enclosure=3:Disk=5 на datadomain,"Коллеги, добрый день. Прошу открыть кейс по проблеме с диском с серийным номером CKM00194300974.",Диск,CKM00194300974,Сервер
Проблемы с СХД,Вылетело несколько дисков и резервная копия была нарушена.,Диск,CKM01212505744,СХД
Неисправность сервера,"Добрый день, коллеги. Прошу принять информацию о необходимости замены сервера с серийным номером D252030019.",Сервер,D252030019,Сервер
СР2-5422,Появились ошибки по датчику системы охлаждения,Материнская плата,D251110010,Сервер
Неисправность сервера,"Модель: сервер CP2 – 5422
S/N : D252030011",Сервер,D252030011,Сервер
Неисправность сервера,"Доброго времени суток, товарищи. Пожалуйста, обратите внимание на следующую информацию о проблеме...",Сервер,D252030019,Сервер
Сервер СИЛА СР2-5422,Добрый день. На сервере вышла из строя сетевая карта.,SFP модуль,D252110012,Сервер
СР2-5422 после обновления BIOS и BMC,Добрый день! После обновления BIOS и BMC материнская плата начала выдавать ошибки.,Материнская плата,D251110015,Сервер
Неисправность сервера,"Модель: сервер CP2 – 5422
S/N : D252030010",Сервер,D252030009,Сервер
Неисправность сервера,"Добрый день, коллеги.
Прошу принять запрос на ремонт оборудования с серийным номером D252030012.",Сервер,D252030012,Сервер
SJH-3456-12 // HDD fault // E213120001,"Вышел из строя диск, установленный вместо вышедшего из строя старого диска.",Диск,E213120001,СХД
Ошибка диска Enclosure=3:Disk=5 на datadomain,"Коллеги, добрый день. Прошу открыть кейс по проблеме с диском на сервере.",Диск,CKM00194300974,Сервер
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия была повреждена.",Диск,CKM01212505744,СХД
Неисправность сервера,"Модель: сервер CP2-5422
S/N: D252030011",Сервер,D252030011,Сервер
SJH-3456-12,"Вышел из строя диск, установленный вместо вышедшего из строя диска",Диск,E213120001,СХД
Проблемы с сервером,"Доброго времени суток! У меня возникли проблемы с сервером, и я хотел бы получить консультацию.",Консультация,D263120004,Сервер
Неисправность сервера,"Доброго времени суток, товарищи. Пожалуйста, ознакомьтесь с информацией о проблеме...",Сервер,D252030019,Сервер
Неисправность сервера,"Добрый день, коллеги. Прошу принять запрос о неисправности сервера с серийным номером D252030012.",Сервер,D252030012,Сервер
Проблемы с сервером,Доброго времени суток! У меня возникли проблемы с сервером.,Консультация,D263120004,Сервер
Обновление BIOS и BMC Cube,"Добрый день! Если были обновления этих компонентов, то нужно проверить их статус.",Консультация,D263080001,Сервер
СР2-5422 после обновления BIOS и BMC,Добрый день! После обновления BIOS и BMC вентилятор на сервере начал работать с перебоями.,Вентилятор,D251110031,Сервер
СР2-5422,Появились ошибки по датчику системы охлаждения 2,Материнская плата,D251110010,Сервер
Неисправность сервера,"Модель: сервер CP2 – 5422
S/N : D252030021",Сервер,D252030021,Сервер
Ошибки диска,"Коллеги, добрый день.
Прошу открыть заявку и присвоить её номер...",Диск,CKM00194300974,Сервер
Обновление BIOS и BMC Cube,"Доброго времени суток! Если были обновления этих компонентов, пожалуйста, сообщите мне их номера.",Консультация,D263080001,Сервер
Неработоспособность BMC,Добрый день. Сервер перестал пускать в BIOS.,Материнская плата,"D253040009, D253010009",Сервер
Ошибки диска,"Коллеги, добрый день.",Диск,CKM00194300974,Сервер
SJH-3456-12,"Вышел из строя диск, установленный вместо вышедшего из строя диска.",Диск,E213120001,СХД
Обновление BIOS и BMC Cube,"Добрый день! Если были обновления этих компонентов, то как мне их установить?",Консультация,D263080001,Сервер
СР2-5422,Появились ошибки по датчику System Fan 2,Материнская плата,D251110010,Сервер
СР2-5422 после обновления BIOS и BMC,"Обновили BIOS и BMC на сервере, после чего материнская плата вышла из строя. Серийный номер D251110011.",Материнская плата,D251110011,Сервер
СР2-5422,Обнаружены ошибки по датчику системы охлаждения,Материнская плата,D251110010,Сервер
Ошибки диска,"Добрый день, коллеги. У нас возникли проблемы с диском.",Диск,CKM00194300974,Сервер
Неисправность сервера,"Добрый день, коллеги. Прошу принять запрос о необходимости ремонта серверного оборудования с серийным номером D252030012.",Сервер,D252030012,Сервер
S124-HDD fault-E213120001,Вышел из строя замененный жесткий диск с серийным номером E213120001.,Диск,E213120001,СХД
S124-HDD fault-E213120001,Вышел из строя замененный жесткий диск с серийным номером E213120001,Диск,E213120001,СХД
Неисправность сервера,"Доброго времени суток, коллеги. К сожалению, наш сервер вышел из строя. Серийный номер устройства - D252030019.",Сервер,D252030019,Сервер
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения резервных данных.",Диск,CKM01212505744,СХД
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения основной копии.",Диск,CKM01212505744,СХД
Неисправность сервера,"Добрый день, коллеги. Прошу принять запрос о необходимости ремонта сервера с серийным номером D252030012.",Сервер,D252030012,Сервер
SJH-3456-12,"Диск, установленный вместо вышедшего из строя, перестал функционировать",Диск,E213120001,СХД
Сервер СИЛА СР2-5422,Добрый день. На нашем сервере возникла проблема с сетевым оборудованием.,SFP модуль,D252110012,Сервер
Неисправность сервера,"Добрый день, коллеги. Прошу принять информацию о необходимости замены сервера с серийным номером D252030014.",Сервер,D252030014,Сервер
Открыть кейс по неисправному диску,Добрый день. Прошу открыть кейс по неисправному диску с серийным номером CKM00194401300.,Диск,CKM00194401300,СХД
СР2-5422,Выявлены неполадки с системой охлаждения,Материнская плата,D251110010,Сервер
Открыть кейс по неисправности диска,Добрый день. Прошу открыть кейс по неисправному устройству хранения данных с серийным номером CKM00194401300.,Диск,CKM00194401300,СХД
Ошибки диска,"Коллеги, добрый день. Прошу открыть заявку с серийным номером CKM00194300974 для сервера.",Диск,CKM00194300974,Сервер
СР2-5422,Обнаружены ошибки по датчику System Fan 2,Материнская плата,D251110010,Сервер
Неисправность сервера,"Доброго времени суток, коллеги. К сожалению, наш сервер вышел из строя. Пожалуйста, примите меры.",Сервер,D252030019,Сервер
Неисправность сервера,"Добрый день, коллеги.
Прошу принять запрос на ремонт оборудования с серийным номером D252030013.",Сервер,D252030013,Сервер
СР2-5422,Обнаружены сбои в работе системы охлаждения,Материнская плата,D251110010,Сервер
СР2-5422,Обнаружены проблемы с System Fan 2,Материнская плата,D251110010,Сервер
SJH-3456-12,Замененный диск после выхода из строя...,Диск,E213120001,СХД
СР2-5422 после обновления BIOS и BMC,Добрый день! После обновления BIOS и BMC на сервере с серийным номером D251110031 вентилятор начал работать неправильно.,Вентилятор,D251110031,Сервер
Проблемы с сервером,Доброго времени суток! У меня возникли некоторые проблемы с сервером.,Консультация,D263120004,Сервер
Неисправность сервера,"Модель: сервер CP2-5422, S/N: D252030021",Сервер,D252030021,Сервер
Проблемы с новым сервером и BMC Cube,Доброго времени суток! У нас возникли проблемы с новым сервером и установленной версией BMC Cube. Не могли бы вы предоставить консультацию по этому вопросу?,Консультация,D263120004,Сервер
Неисправность сервера,"Добрый день, коллеги. Прошу принять информацию о проблеме с оборудованием.",Сервер,D252030014,Сервер
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения основной копии данных.",Диск,CKM01212505744,СХД
Ноутбук,Не работает видео выход HDMI,Материнская плата,С111080061,Ноутбук
Открыть кейс по неисправности диска,Добрый день. Прошу открыть кейс по неисправному оборудованию.,Диск,CKM00194401300,СХД
Проблема с клавиатурой ноутбука,Добрый день! Перестали работать некоторые клавиши на клавиатуре моего ноутбука.,Клавиатура,C222090998,Ноутбук
Неисправность сервера,"Доброго времени суток, коллеги. К сожалению, не удается подключиться к нашему серверу. Серийный номер устройства - D252030019.",Сервер,D252030019,Сервер
Проблемы с системой хранения данных,Вылетели 9 дисков и перезагрузилась резервная система.,Диск,CKM01212505744,СХД
Ноутбук СИЛА HK1-1425/ i5-1135G7/8G/m.2 256Gb/...,"Не работает HDMI

Материнская плата",Материнская плата,C111110003,Ноутбук
Неисправность Ноутбук СИЛА НК2-3404 - NTB48447,Добрый день! Ноутбук СИЛА НК2-3404 - NTB4...,Матрица,C223091505,Ноутбук
HK2-1404,Перестал функционировать блок питания ноутбука.,Блок питания,C223100876,Ноутбук
НК2-1404 v2,Не работает зарядное устройство,Блок питания,C223100822,Ноутбук
Проблемы с СХД,"Некоторые диски вышли из строя, и резервная копия не может быть восстановлена из-за повреждения основного хранилища данных.",Диск,CKM01212505744,СХД
Ноутбук НК2-1404,"Добрый день, после ремонта ноутбука перестала работать клавиша F1.",Клавиатура,С223010731,Ноутбук
СИЛА НК2-1404 // не работает LAN порт // С2220,Добрый день. Ноутбук СИЛА. Не работает LAN порт. Серийный номер С222090774.,Wi-fi модуль,С222090774,Ноутбук
S12-3456 // Проблемы с зарядным устройством,Не заряжается аккумуляторная батарея,Блок питания,C223011088,Ноутбук
Ошибка диска Enclosure=3:Disk=5 на datadomain,"Коллеги, добрый день. Прошу открыть кейс по проблеме с диском на сервере. Серийный номер CKM00194300974.",Диск,CKM00194300974,Сервер
S124-HDD fault-E213120001,"Жесткий диск, который был заменен, вышел из строя. Серийный номер диска: E213120001.",Диск,E213120001,СХД
Неисправность ноутбука,Добрый день! Ноутбук СИЛА НК2-3404 - NTB49600 (Платформа) - проблема с матрицей,Матрица,C223090096,Ноутбук
Обновление BIOS и BMC Cube,"Доброго времени суток! Если были обновления этих компонентов, пожалуйста, сообщите мне серийный номер вашего устройства: D263080001.",Консультация,D263080001,Сервер
Полосы на экране ноутбука,Неисправность дисплея ноутбука.,Матрица,C223090893,Ноутбук
Неработоспособность BMC,Добрый день. Сервер перестал запускаться в BIOS.,Материнская плата,"D253040009, D253010009",Сервер
Гарантийный ремонт ноутбука СИЛА НК2-1404 v2,Прошу принять в гарантийный ремонт ноутбук с проблемой с диском.,Диск,C223011138,Ноутбук
Ноутбук СИЛА НК2-1404,"Добрый день, коллеги! У нас проблема с ноутбуком СИЛА НК2-1404. Мерцает экран.",Матрица,C223013328,Ноутбук
Неисправность Ноутбук СИЛА НК2-3404 - NTB48595,Добрый день! Ноутбук СИЛА НК2-3404 - NTB4...,Матрица,C223090725,Ноутбук
Ноутбук,Добрый день! При подключении внешнего монитора через HDMI-порт изображение не выводится.,Материнская плата,C112050125,Ноутбук
Проблемы с блоком питания,Не функционирует блок питания на устройстве SN C223010123,Блок питания,C223010123,Ноутбук
Заряд аккумулятора,"Не держит заряд, использовался несколько раз",Аккумулятор,C223100567,Ноутбук
Не включается дисплей,Дисплей не включается,Материнская плата,C223093407,Ноутбук
Не работает зарядка Type-C,Проблемы с зарядным устройством Type-C,Блок питания,C223101296,Ноутбук
Не работает дисплей,Не функционирует экран ноутбука.,Матрица,C223011312,Ноутбук
Драйвера для ноутбука,Доброго дня! Ми отримали для тестування один з моделей ноутбуків.,Консультация,C223090609,Ноутбук
Обновление программного обеспечения для сервера,"Добрый день! У нас есть свежая версия ПО для сервера, которую мы хотели бы обсудить.",Консультация,D263120004,Сервер
Проблема с клавиатурой ноутбука,Добрый день! Не работают некоторые клавиши на клавиатуре моего ноутбука.,Клавиатура,C222090998,Ноутбук
Не включается,Проблемы с включением устройства,Материнская плата,C223092664,Ноутбук
Заявка на гарантийный ремонт/замену,Добрый день. Серийный номер: С223013250. Блок питания. Серийный номер: C223013250. Тип оборудования: Ноутбук,Блок питания,C223013250,Ноутбук
Гарантия,"Пожалуйста, укажите адрес ближайшего сервисного центра для обращения по гарантии.",Диск,С222091091,Ноутбук
Неисправность ноутбука,Добрый день! Ноутбук SILVER FALCON SF-7777 - NTB485...,Матрица,C223090502,Ноутбук
SLA-1404,"Доброго дня! У нас виникають проблеми з використанням блоку живлення HK2-1404. Під час роботи з ноутбуком ми помітили, що він не заряджається. Ми маємо наступні серійні номери: C223011355, C223012685, C223011958.",Блок питания,"['C223011355', 'C223012685', 'C223011958']",Ноутбук
Ошибки диска,"Добрый день, коллеги. У нас возникли проблемы с диском...",Диск,CKM00194300974,Сервер
Неисправность Ноутбук СИЛА НК2-3404 - NTB48532,Добрый день! Ноутбук СИЛА НК2-3404 - NTB4...,Матрица,C223090552,Ноутбук
S12-567 // Проблемы с зарядным устройством,Не заряжается аккумуляторная батарея,Блок питания,C223011088,Ноутбук
SJH-3456-12,"Вышел из строя диск, установленный вместо ранее замененного.",Диск,E213120001,СХД
S12-3456,Не удается зарядить аккумуляторную батарею,Блок питания,C223011088,Ноутбук
Не включается экран,Экран не загорается,Материнская плата,C223093407,Ноутбук
Сервер СИЛА СР2-5422,Добрый день. На сервере вышел из строя сетевой модуль SFP с серийным номером D252110012.,SFP модуль,D252110012,Сервер
SOS HK-1404,"Экран рябит, видео во вложении",Матрица,C223012603,Ноутбук
Проблемы с новым сервером и BMC Cube,Доброго времени суток! У нас возникли некоторые проблемы с новым сервером и его BMC Cube.,Консультация,D263120004,Сервер
HK2-1404,"Доброго дня.

Прошу забрать устройство и провести диагностику из-за шума вентилятора и искажений на экране.",Корпус,C223010327,Ноутбук
Неисправность Ноутбук СИЛА НК2-3404 - NTB4857,Ноутбук СИЛА НК2-3404 - NTB4857 (S/N: C2230905),Матрица,C2230905,Ноутбук
Не работает ноутбук,Добрый день! Ноутбук C223013256 перестал работать и выдает ошибку при запуске.,Материнская плата,C223013256,Ноутбук
Ноутбук,"Доброго дня, колеги! У нас проблема з ноутбуком...",Матрица,C223013328,Ноутбук
СИЛА CX-1015-12,"Вышел из строя диск, пришедший на замену по гарантии.",Диск,E213120001,СХД
Ноутбук Сила НК2-3404,Добрый день. Нам поступили ноутбуки Сила НК2-3404.,Консультация,"C223091216, C223091307, C223091468, C223091751",Ноутбук
Не включается,Проблемы с запуском устройства,Материнская плата,C223092664,Ноутбук
SJH-3456-12,Замененный компонент после сбоя...,Диск,E213120001,СХД
Ноутбук,Не работает видео выход на монитор через HDMI кабель,Материнская плата,С111080061,Ноутбук
Обновление BIOS и BMC Cube,"Добрый день! Если были обновления этих компонентов, пожалуйста, сообщите серийный номер устройства.",Консультация,D263080001,Сервер
СИЛА НК2-3205,"Добрый день,
У нас возникли проблемы с несколькими ноутбуками.
Серийный номер C233041042",Программное обеспечение,C233041042,Ноутбук
Не включается,Не включается ноутбук,Материнская плата,C223092664,Ноутбук
СР2-5422 после обновления BIOS и BMC,"Обновили BIOS и BMC на сервере, после чего материнская плата перестала работать корректно.",Материнская плата,D251110011,Сервер
Неисправность Ноутбук,Ноутбук СИЛА НК2-3404 - NTB4857 (S/N: C2230905),Матрица,C2230905,Ноутбук
Ноутбук СИЛА HK-1404,Периодические черные вертикальные полосы на экране,Материнская плата,C223011328,Ноутбук
Проблема с серийным номером,Добрый день! Ранее мы отправляли к вам на обслуживание ноутбук с серийным номером C223012272. Сейчас возникла проблема с этим устройством.,Консультация,C223012272,Ноутбук
Гарантия,"Укажите, пожалуйста, адрес ближайшего сервисного центра, где могут оказать помощь с данным оборудованием.",Диск,С222091091,Ноутбук
Гарантийный ремонт 2-х ноутбуков,Добрый день! Мы выявили дефекты изображения...,Матрица,С223090320,Ноутбук
S123456 // HDD fault // E213120001,"Вышел из строя диск, полученный взамен по гарантии.",Диск,E213120001,СХД
Не включается экран,Изображение не отображается на экране,Материнская плата,C223093407,Ноутбук
Проблемы с новым сервером и BMC Cube,Доброго времени суток! У нас возникли некоторые сложности...,Консультация,D263120004,Сервер
СИЛА НК2-1404 // Не работает LAN порт // С2220,Добрый день. Ноутбук СИЛА. Не функционирует LAN порт.,Wi-fi модуль,С222090774,Ноутбук
Проблемы с сервером СИЛА СР2-5422,"Добрый день. На нашем сервере возникла проблема с SFP модулем, серийный номер D252110012.",SFP модуль,D252110012,Сервер
СИЛА НК2-1404//нет звука и видеосигнала,Прошу предоставить информацию о ближайшем сервисном центре...,Материнская плата,C222091964,Ноутбук
S123456 // HDD fault // E213120001,"Вышел из строя диск, замененный на новый по гарантии.",Диск,E213120001,СХД
Неисправность сервера,"Доброго времени суток, товарищи. Пожалуйста, ознакомьтесь с информацией о проблеме...",Сервер,D252030014,Сервер
СР2-5422 после обновления BIOS и BMC,Добрый день! После обновления BIOS и BMC сервера с серийным номером D251110031 вентилятор начал работать неправильно.,Вентилятор,D251110031,Сервер
Заявка на гарантийный ремонт/замену,Добрый день. Серийный номер: С223013250. Проблема с блоком питания.,Блок питания,C223013250,Ноутбук
S123456,"Вышел из строя диск, полученный взамен по гарантии",Диск,E213120001,СХД
HK2-1404,Добрый день! Не функционирует один порт Type-C.,Материнская плата,C223012095,Ноутбук
СИЛА НК2-1404,"Добрый день, коллеги. Обнаружили деформацию крышки корпуса ноутбука с серийным номером C223012632.",Корпус,C223012632,Ноутбук
SJH-3456-12,"Вышел из строя накопитель, установленный вместо ранее использовавшегося.",Диск,E213120001,СХД
Гарантийный ремонт T2,Добрый день. Прошу произвести гарантийный ремонт вентилятора в моем ноутбуке с серийным номером C223014726.,Вентилятор,C223014726,Ноутбук
