Тема,Описание,Тип оборудования,Точка отказа,Серийный номер
dd503.region..ru - Disk 3.2,"Добрый день.
Прошу открыть заявку на замену диска.
dd503.region..ru - Disk 3.2
@dd503-p1(active:1)# system show serial
Serial number: CKM01212505744
@dd503-p1(active:1)# system show model
Model number: DD9900 E
@dd503-p1(active:1)# alerts show current
Id      Post Time                  Severity   Class             Object               Message
-----   ------------------------   --------   ---------------   ------------------   ------------------------------------------------------------------------
m0-34   Mon May 13 13:16:53 2024   WARNING    Storage           Enclosure=3:Disk=2   EVT-STORAGE-00011: Disk has not been added to the system.
m0-35   Mon May 13 13:20:22 2024   CRITICAL   HardwareFailure   Enclosure=3:Disk=2   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
-----   ------------------------   --------   ---------------   ------------------   ------------------------------------------------------------------------
There are 2 active alerts.
@dd503-p1(active:1)# disk show state
Enclosure        Disk
  Row(disk-id)    1  2  3  4  5  6  7  8  9  10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
--------------   ----------------------------------------------------------------------------
1                 s  .  .  .
2                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  . |.  .  s |.  .  s |.  s  . |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  s  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
3                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  s  . |.  .  . |.  .  . |s  .  . |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  R  . |.  .  . |
     B(13-24)    |.  .  . |.  s  . |.  .  . |.  .  . |
     A( 1-12)    |.  F  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
4                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  . |.  .  s |.  .  s |.  .  . |
     D(37-48)    |.  .  . |.  .  s |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  s |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
5                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |-  -  - |-  -  - |-  -  - |
     D(37-48)    |.  .  . |-  -  - |-  -  - |-  -  - |
     C(25-36)    |.  .  . |-  -  - |-  -  - |-  -  - |
     B(13-24)    |.  .  . |-  -  - |-  -  - |-  -  - |
     A( 1-12)    |.  .  . |-  -  - |-  -  - |-  -  - |
                 |--------|--------|--------|--------|
6                 .  .  .  .  .  .  .  .  .  .  -  -  -  -  -  -  -  -  -  -  -  -  -  -  -
--------------   ----------------------------------------------------------------------------
Legend   State                          Count
------   ----------------------------   -----
.        In Use Disks                   194
s        Spare Disks                    13
R        Spare (reconstructing) Disks   1
F        Failed Disks                   1
-        Not Installed Disks            60
------   ----------------------------   -----
Total 209 disks
Disk    Disks            Progress   Remaining
Group   Reconstructing   (%)        (minutes)
-----   --------------   --------   ---------
dg2     3.32             23         895
-----   --------------   --------   ---------
@dd503-p1(active:1)# disk show hardware
Disk         Slot   Manufacturer/Model         Firmware   Serial No.       Capacity   Type
(enc/disk)
----------   ----   ------------------------   --------   --------------   --------   -------
1.1          0      SAMSUNG MZILT1T9HBJR0D3    DSA3       S5YRNA0R232108   1.7 TiB    SAS-SSD
1.2          1      SAMSUNG MZILT1T9HBJR0D3    DSA3       S5YRNA0R230064   1.7 TiB    SAS-SSD
1.3          2      SAMSUNG MZILT1T9HBJR0D3    DSA3       S5YRNA0R230723   1.7 TiB    SAS-SSD
1.4          3      SAMSUNG MZILT1T9HBJR0D3    DSA3       S5YRNA0R230746   1.7 TiB    SAS-SSD
2.1          A0     SEAGATE STCRSEI1CLAR8000   CA01       WSD1V13Q         7.2 TiB    SASe
2.2          A1     SEAGATE STCRSEI1CLAR8000   CA01       WSD4B163         7.2 TiB    SASe
2.3          A2     SEAGATE STCRSEI1CLAR8000   CA01       WSD1T49B         7.2 TiB    SASe
2.4          A3     SEAGATE STCRSEI1CLAR8000   CA01       WSD1T1Y1         7.2 TiB    SASe
2.5          A4     SEAGATE STCRSEI1CLAR8000   CA01       WSD1T287         7.2 TiB    SASe
2.6          A5     SEAGATE STCRSEI1CLAR8000   CA01       WSD1SR91         7.2 TiB    SASe
2.7          A6     SEAGATE STCRSEI1CLAR8000   CA01       WSD1V0K3         7.2 TiB    SASe
2.8          A7     SEAGATE STCRSEI1CLAR8000   CA01       WSD1V0EC         7.2 TiB    SASe
2.9          A8     SEAGATE STCRSEI1CLAR8000   CA01       WSD1SQS0         7.2 TiB    SASe
2.10         A9     SEAGATE STCRSEI1CLAR8000   CA01       WSD1SSSZ         7.2 TiB    SASe
2.11         A10    SEAGATE STCRSEI1CLAR8000   CA01       WSD1T1KH         7.2 TiB    SASe
2.12         A11    SEAGATE STCRSEI1CLAR8000   CA01       WSD1T1Q2         7.2 TiB    SASe
2.13         B0     SEAGATE STCRSEI1CLAR8000   CA01       WSD1SRCF         7.2 TiB    SASe
2.14         B1     SEAGATE STCRSEI1CLAR8000   CA01       WSD172F8         7.2 TiB    SASe
2.15         B2     SEAGATE STCRSEI1CLAR8000   CA01       WSD1V0VE         7.2 TiB    SASe
2.16         B3     SEAGATE STCRSEI1CLAR8000   CA01  
__________________________________
Полный текст обращения смотри в ""Оригинал письма.eml""",СХД,Диск,CKM01212505744
СИЛА НК2-1404  // Не работает зарядное устройство Type-C,"Не работает зарядное устройство Type-C СИЛА НК2-1404 
Ноутбук от другого устройста заряжается корректно.",Ноутбук,Блок питания,C223010757
Неисправность ноутбука Сила NTB49600 (Платформа),"Добрый день! 
 Ноутбук СИЛА НК2-3404 - NTB49600 (S/N: C223090096)
 Описание неисправности – Вышла из строя матрица. В нижней части экрана образовались полосы разной длины, ширины, появилось мерцание. Во вложении фото неисправности. На ноутбуке нет следов физического воздействия, неисправность аппаратная.",Ноутбук,Матрица,C223090096
Не работает блок питания,Не работает блок питания на ноутбуке sn C223010123,Ноутбук,Блок питания,C223010123
"HK2-1404 // Не работает порт Type-C, не работает зарядное устройство","Не работает первый порт Type-C, не работает зарядное устройство",Ноутбук,Материнская плата,C223102038
Ноутбук НК2-1404 //Не работает клавиша F1 или срабатывает с задержкой//С223010731,"Добрый день,
после ремонта ноутбука перестала срабатывать кнопка F1 и иногда срабатывает сама и вызывает окно справки в приложения и браузере.
Просьба завести заявку в рамках гарантийного ремонта",Ноутбук,Клавиатура,С223010731
Не работает блок питания,В течении недели перестал внезапно работать блок питания на ноутбуке  Сила НК2-1404 v2 SN:  C223100360,Ноутбук,Блок питания,C223100360
СИЛА НК2-3205 // Установка дополнительной планки памяти,Необходимо установить вторую планку памяти на 8 Гб в ноутбуке СИЛА НК2-3205 с SN: C233041869,Ноутбук,Оперативная память,C233041869
Неисправность Ноутбук СИЛА НК2-3404 - NTB48577 S/N,"Ноутбук СИЛА НК2-3404 - NTB4857 (S/N: C223090551)
 Описание неисправности – вышла из строя матрица. В нижней части экрана полосы и мерцание. Во вложении фото неисправности. На ноутбуке нет следов физического воздействия, скорее всего неисправность аппаратная.",Ноутбук,Матрица,C223090551
Ноутбук НК2-1404 // Полосы и мерцание на мониторе,"Добрый день!
Примите пожалуйста заявку на ремонт. 
Появились полосы и мерцание экрана",Ноутбук,Матрица,C223014561
Неисправность Ноутбук СИЛА НК2-3404 - NTB48447 S/N,"Добрый день! 
 Ноутбук СИЛА НК2-3404 - NTB48447 (S/N: C223091505)
 Описание неисправности – вышла из строя матрица. По всей площади экрана полосы и мерцание. Во вложении фото неисправности. На ноутбуке нет следов физического воздействия, скорее всего неисправность аппаратная.",Ноутбук,Матрица,C223091505
НК2-1404 // залит водой,"пользователь залил ноутбук водой. требуется диагностика, обслуживание и ремонт, по необходимости",Ноутбук,Материнская плата,C223011324
Сервер СР2-5422,"Добрый день! На сервере были работы в рамках заявки 8198.
Сейчас на сервере наблюдаем ошибки",Сервер,Материнская плата,D251110008
Неисправность ноутбука Сила,"Добрый день! 
 Ноутбук СИЛА НК2-3404 - NTB48449 (S/N: C223091227)
 Описание неисправности – вышла из строя матрица. В нижней части экрана полосы и мерцание. Во вложении фото неисправности. На ноутбуке нет следов физического воздействия, скорее всего неисправность аппаратная.",Ноутбук,Матрица,C223091227
Сервер СР2-5422 // После обновления bios и bmc появились ошибки системных кулеров,"Добрый день!
После обновления bios и BMC на последние версии (SILA_015_bios_rev8_3/CUBE 1.6) появились ошибки в логах и датчиках.
Прикладываю скрины.
По питанию вырубать пробовали. Не помогло",Сервер,Материнская плата,D251110023
Неисправность ноутбука СИЛА НК2-3404 - NTB48569,"Добрый день! 
 Ноутбук СИЛА НК2-3404 - NTB48569 (S/N: C223090918)
 Описание неисправности – экран ноутбука появились полосы, во вложении фото неисправности. На ноутбуке нет следов физического воздействия, скорее всего неисправность аппаратная.",Ноутбук,Матрица,C223090918
Не работает ноутбук,"Добрый день!
Ноутбук C223013256 перестал корректно включаться.
После нажатия на кнопку включения загорается индикатор, но кулер не крутится, изображение не появляется.
Прошу помощи в диагностике неисправности, сброс по питанию проблему не решает",Ноутбук,Материнская плата,C223013256
Проблема с клавиатурой ноутбука,"Добрый день!
Перестала работать часть клавиатуры на ноутбуке СИЛА НК2-1404
Серийный номер C222090998
Как можно передать его вам на диагностику",Ноутбук,Клавиатура,C222090998
"СИЛА СХ2-4115-12; СИЛА CX2-4016-25; СИЛА СХ2-4066-36  //  обновить ПО до последней версии // ,","Добрый день. 
Недавно приобретали у вас 3 схд, (СИЛА СХ2-4115-12; СИЛА CX2-4016-25; СИЛА СХ2-4066-36;) сейчас готовим оборудование к запуску и хотим обновить ПО до последней версии.",СХД,Консультация,"E244030004, E244030002, E244030003"
/ шумит кулер / отклеились ножки,"Коллеги, добрый день.

Прошу осуществить забор и последующий ремонт ноутбука  sn: C223010310
Неисправность: 
1) шумит кулер (треск)
2) отклеились резиновые ножки с нижней части корпуса ноутбука",Ноутбук,Вентилятор,C223010310
Проблема с ноутбуком СИЛА HK2-1404,"Добрый день, у нас вышел из строя SSD у ноутбука СИЛА HK2-1404 s/n 
C222091364
Зарегистрируйте заявку на гарантийный ремонт с вывозом, г.Краснодар,",Ноутбук,Программное обеспечение,C222091364
НК2-1404 // Не работает Wi-FI (Кашира),На устройстве не работает WiFi,Ноутбук,Wi-fi модуль,C223101219
Ремонт,"Добрый день, 
 У меня проблема с ноутбуком «Сила» HK2-3404. При подключении адаптера питания сильно нагревается угол ноутбука около штекера питания Type-C. 
 Зарядка не идет (или идет не постоянно). От аккумулятора работает нормально. Серийный номер – С223091266 
 Данные для регистрации на вашем сайте ниже.",Ноутбук,Материнская плата,C223091266
"Синий экран, предположительно память","При загрузке системы через 15-30 секунд ПК падает в синий экран с разными ошибками. Пробовали переустановить ОС - на переустановке также синий экран.
Есть подозрения на модуль ОЗУ. При его замене ПК работает стабильно",Ноутбук,Оперативная память,С223010395
HK2-1404,"Добрый день! 
 Прошу взять в гарантийный ремонт ноутбук СИЛА нк2-1404 C223013523 
 Неисправности: 
 Повреждена матрица ноутбука(видео прикладываю)",Ноутбук,Матрица,C223013523
Ноутбук НК2-1404 // Вентилятор трется о сетку,"Добрый день.
Спустя 30 минут работы вентилятор трется о сетку
Прошу помочь в решении данной проблемы
Спасибо",Ноутбук,Вентилятор,C223012430
Ноутбук СИЛА HK-1404 не заряжается с type-c портов,"Laptops: ноутбук не заряжается. Проверено несколько зарядок, работающих на других ноутбуках.
SILA NK2-1404 i7	C223011046",Ноутбук,Материнская плата,C223011046
"Ноутбук СИЛА HK-1404 // замена блоков питания // ,","Добрый день! Не работают блоки питания, прошу заменить",Ноутбук,Блок питания,"C223012682, C223011343, C223011380"
Ноутбук СИЛА HK1-1425/i5-1135G7/1*16G/m.2 256G/B3Y/С111080061/инв. №525315,Не работает HDMI,Ноутбук,Материнская плата,С111080061
Не включается дисплей,Не включается дисплей,Ноутбук,Материнская плата,C223093407
Ноутбук Сила. Гарантийный ремонт,"Добрый день. 
 Ноутбук СИЛА HK2-1404  S/n C223014758. Не включается",Ноутбук,Материнская плата,C223014758
СИЛА НК2-1404//Драйверы звука и видео пропадают при перезагрузке,Будьте добры сообщить адрес сервисного центра в г.Липецке,Ноутбук,Диск,C222090246
HK2-1404 // шумит кулер + артефакты на экране ноутбука,"Добрый день.

Прошу осуществить забор и последующий ремонт ноутбука  sn:C223010327.

Неисправность:

1)  шумит кулер (во вложении видео)
2) периодически появляются артефакты на экране ноутбука, в особенности, при работе в excel (во вложении видео).",Ноутбук,Корпус,C223010327
"СИЛА НК2-1404 // Рябь, мерцание","Коллеги, добрый день!
У нас поломка 3-х ноутбуков СИЛА НК2-1404.
Серийные номера: C223013568,C223014073, C223014954


Рябь на ноутбуках/мерцание",Ноутбук,Матрица,"C223014954, C223014954"
HK2-1404 // Проблема с портом type-c,"Добрый день!
Не работает один порт type-c.",Ноутбук,Материнская плата,C223012095
Ноутбук СИЛА HK1-1425/i5-1135G7/2*8G/m.2 256Gb/В3Y//536337_ВЛN,"Не рабочая кнопка ""G""",Ноутбук,Клавиатура,C111110002
Сервер СР2-5422 // Системные ошибки,"Добрый вечер! На сервере появились системные ошибки. Скрин и логи прилагаю.
Предварительно на 03.09.24 (совместно с работами по замене серверов) инженерам необходимо по возможности устранить проблему или согласовать новую платформу",Сервер,Материнская плата,D251110041
СИЛА НК2-1404 // Не включается,Трещат вентиляторы при работе ноутбука,Ноутбук,Вентилятор,C223012410
Перезагрузился сервер. После перезагрузки не включается,"Добрый день! 
Сервер перезагрузился, при загрузке выводится ошибка (скриншот ошибки - error1). При перезагрузке ошибка повторяется",Сервер,Программное обеспечение,D114030010
Ошибка диска Enclosure=3:Disk=5 на datadomain,"Коллеги, добрый день.
Прошу открыть кейс по неисправному диску на оборудовании DataDomain
sysadmin@dd501-p1(active:1)# alert show current
Id      Post Time                  Severity   Class             Object                Message
-----   ------------------------   --------   ---------------   -------------------   ------------------------------------------------------------------------
m0-37   Tue Jul 16 21:15:42 2024   CRITICAL   HardwareFailure   Enclosure=3:Disk=57   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
-----   ------------------------   --------   ---------------   -------------------   ------------------------------------------------------------------------
There is 1 active alert",Сервер,Диск,CKM00194300974
Ноутбук Сила НК2-1404 v2  SN:  не работает сетевой адаптер,Ноутбук Сила НК2-1404 v2  SN:  C223100312 не работает сетевой адаптер,Ноутбук,Wi-fi модуль,C223100312
"СИЛА CX-1015-12 // HDD fault //  s/n . Вышел из строя диск, пришедший на замену по гарантии","Вышел из строя диск, пришедший на замену по гарантии.  Был в резерве проработал 2 месяца. Прошу открыть заявку на ремонт (замену диска)",СХД,Диск,Е213120001
открыть кейс по неисправному диску на dd:  dd204.region..ru  Enclosure=2:Disk=12,"Добрый день. 
Коллеги, 
Прошу открыть кейс по неисправному диску на dd: dd204.region..ru - Disk 2.12 [SN: ZC1C5RLH] Enclosure=2:Disk=12
@dd204-p1(active:1)# alerts show current
Id       Post Time                  Severity   Class               Object                Message                                                               
------   ------------------------   --------   -----------------   -------------------   ------------------------------------------------------------------------
p1-831   Thu Apr 11 12:17:03 2024   ERROR      SystemMaintenance                         EVT-SMTOOL-00001: Error communicating with mail server.               
m0-27    Tue May 14 21:41:28 2024   CRITICAL   HardwareFailure     Enclosure=2:Disk=12   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
------   ------------------------   --------   -----------------   -------------------   ------------------------------------------------------------------------
There are 2 active alerts.
@dd204-p1(active:1)#
@dd204-p1(active:1)# enclosure show summary
Enclosure   Model No.   Serial No.       State    OEM Name   OEM Value   Capacity
---------   ---------   --------------   ------   --------   ---------   --------
1           DD9800      NVT10193200087   Online                          4 Slots
2           DS60        FCNCD191900145   Online                          60 Slots
3           DS60        FCNCD191900153   Online                          60 Slots
4           DS60        FCNCD191900069   Online                          60 Slots
5           DS60        FCNCD191900155   Online                          60 Slots
6           ES30        CKM00194101700   Online                          15 Slots
7           DS60        FCNCD191700370   Online                          60 Slots
---------   ---------   --------------   ------   --------   ---------   --------
7 enclosures present.
@dd204-p1(active:1)# system show model
Model number: DD9800
@dd204-p1(active:1)# disk show state
Enclosure        Disk
  Row(disk-id)    1  2  3  4  5  6  7  8  9  10 11 12 13 14 15
--------------   ----------------------------------------------
1                 .  .  .  .
2                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  s |.  .  . |.  .  s |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  F |
                 |--------|--------|--------|--------|
3                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  . |.  .  . |.  .  s |.  s  s |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  s |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
4                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  s |.  .  s |.  .  s |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
5                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  . |.  .  s |.  .  s |.  .  . |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  s |.  .  s |
                 |--------|--------|--------|--------|
6                 .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
7                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |s  .  . |-  -  - |-  -  - |-  -  - |
     D(37-48)    |.  .  . |-  -  - |-  -  - |-  -  - |
     C(25-36)    |.  .  . |-  -  - |-  -  - |-  -  - |
     B(13-24)    |.  .  . |-  -  - |-  -  - |-  -  - |
     A( 1-12)    |.  .  . |-  -  - |-  -  - |-  -  - |
                 |--------|--------|--------|--------|
--------------   ----------------------------------------------
Legend   State                 Count
------   -------------------   -----
.        In Use Disks          257
s        Spare Disks           16
F        Failed Disks          1
-        Not Installed Disks   45
------   -------------------   -----
Total 274 disks
@dd204-p1(active:1)# disk show hardware
Disk         Slot   Manufacturer/Model                        Firmware   Serial No.                 Capacity    Type
(enc/disk)
----------   ----   ---------------------------------------   --------   ------------------------   ---------   --------
1.1          0      SHSAT6P400GLM21EMC____________118000533   FW1188     SPG1927044V                372.6 GiB   SATA-SSD
1.2          1      SHSAT6P400GLM21EMC____________118000533   FW1188     SPG19270455                372.6 GiB   SATA-SSD
1.3          2      SHSAT6P400GLM21EMC____________118000533   FW1188     SPG1927045H                372.6 GiB   SATA-SSD
1.4          3      SHSAT6P400GLM21EMC____________118000533   FW1188     SPG19270444                372.6 GiB   SATA-SSD
2.1          A0     SEAGATE STMFSND2CLAR4000                  BS03       ZC1C5ZX1                   3.6 TiB     SAS
2.2          A1     SEAGATE STMFSND2CLAR4000                  BS03       ZC1C5Z4F                   3.6 TiB     SAS
2.3          A2     SEAGATE STMFSND2CLAR4000                  BS03       ZC1C6116                   3.6 TiB     SAS
2.4  
__________________________________
Полный текст обращения смотри в ""Оригинал письма.eml""",СХД,Диск,CKM00194401300
Не работает блок питания,Не работает блок питания,Ноутбук,Блок питания,С223092905
СИЛА НК2-3404  // мерцающая матрица,"Привет, Коллеги.
Снова мерцающие полосы у Силы.  

Серийник: C223090123",Ноутбук,Материнская плата,C223090123
Неисправность сервера СИЛА//46925,"Коллеги, добрый день. 
 Просьба принять запрос. 
 Оборудование: Сервер СИЛА 
 Номер: D252030034 
 Описание неисправности: 
 Неисправность модуля управления и системы охлаждения сервера 
 bios 8.3 BMC 1262_2",Сервер,Материнская плата,D252030034
Проблема с серийным номером СИЛА,"Добрый день! 
 Ранее мы отправляли к вам на ремонт ноутбук по заявке: 
 6452. СИЛА HK2-1404 // Устройство не включается // C223012272 
 Сейчас при настройке мы заметили, что у него серийный номер такой: C2223012272 
 Т.е. имеется лишняя 2-йка в серийном номере. 
 Скрины во вложении. 
 Можете подсказать, можно ли как-то его поменять или сохранится ли за ним гарантия, если так и оставить?",Ноутбук,Консультация,C223012272
HK2-1404 // Не работает зарядное устройство,Перестало работать зарядное устройство. С другим работает корректно,Ноутбук,Блок питания,C223102298
НК2-1404 // Проблемы с зарядными устройствами,"Добрый день,
вышли из строя зарядные устройства.
Просьба завести заявку в рамках гарантийного ремонта.
 C223012685 C223010230 C223010386",Ноутбук,Блок питания,"C223012685, C223010230, C223010386"
ноутбук НК2-1404 - не работает USB gjhn,"не работает USB слева, рядом с HDMI разъемом",Ноутбук,Материнская плата,C223100870
Неисправность сервера // 46909,"Коллеги, добрый день.
Просьба принять запрос.
Модель: сервер CP2 – 5422
S/N : D252030013 
 Расположение: КВ7 
 Описание: Неисправность системы охлаждения сервера. 
 Приоритет: 3 
 Дополнительная информация во вложении.",Сервер,Сервер,D252030013
Просьба открыть заявку по неисправному диску:  dd401..ru - Disk 3.23 SN: ZC1BYZ1X,"Добрый день!
Просьба открыть заявку по неисправному диску:
 dd401.ru - Disk 3.23 SN: ZC1BYZ1X 
@dd401-p0(active:0)# alerts show current
Id       Post Time                  Severity   Class             Object                         Message
------   ------------------------   --------   ---------------   ----------------------------   ------------------------------------------------------------------------
p0-477   Fri Nov 24 04:35:09 2023   CRITICAL   HardwareFailure   Enclosure=1:DIMM=MR1 DIMM A0   EVT-DIMM-00003: A memory card has failed
m0-72    Tue Jun 11 03:24:39 2024   CRITICAL   HardwareFailure   Enclosure=3:Disk=23            EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
------   ------------------------   --------   ---------------   ----------------------------   ------------------------------------------------------------------------
There are 2 active alerts.
@dd401-p0(active:0)# system show serial
Serial number: CKM00194300973
@dd401-p0(active:0)# enclosure show summary
Enclosure   Model No.   Serial No.       State    OEM Name   OEM Value   Capacity
---------   ---------   --------------   ------   --------   ---------   --------
1           DD9800      NVT10193400034   Online                          4 Slots
2           DS60        FCNCD191700080   Online                          60 Slots
3           DS60        FCNCD191500345   Online                          60 Slots
4           DS60        FCNCD191000240   Online                          60 Slots
5           DS60        FCNCD191700271   Online                          60 Slots
6           ES30        CKM00194101709   Online                          15 Slots
7           DS60        FCNCD191500225   Online                          60 Slots
8           DS60        FCNCD191000196   Online                          60 Slots
---------   ---------   --------------   ------   --------   ---------   --------
8 enclosures present.
@dd401-p0(active:0)# system show model
Model number: DD9800
@dd401-p0(active:0)# disk show state
Enclosure        Disk
  Row(disk-id)    1  2  3  4  5  6  7  8  9  10 11 12 13 14 15
--------------   ----------------------------------------------
1                 .  .  .  .
2                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  . |.  .  s |.  .  . |
     D(37-48)    |.  .  . |.  s  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  s |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
3                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  s |.  .  . |.  .  . |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  F  . |
     A( 1-12)    |.  .  . |.  s  . |R  .  . |.  .  . |
                 |--------|--------|--------|--------|
4                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  s |.  .  s |.  .  s |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
5                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  s |.  s  . |.  .  s |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
6                 .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
7                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  . |.  .  s |.  .  . |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  s |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  s |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
8                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  . |-  -  - |-  -  - |-  -  - |
     D(37-48)    |.  .  . |-  -  - |-  -  - |-  -  - |
     C(25-36)    |.  .  . |-  -  - |-  -  - |-  -  - |
     B(13-24)    |.  s  . |-  -  - |-  -  - |-  -  - |
     A( 1-12)    |.  .  . |-  -  - |-  -  - |-  -  - |
                 |--------|--------|--------|--------|
--------------   ----------------------------------------------
Legend   State                          Count
------   ----------------------------   -----
.        In Use Disks                   312
s        Spare Disks                    20
R        Spare (reconstructing) Disks   1
F        Failed Disks                   1
-        Not Installed Disks            45
------   ----------------------------   -----
Total 334 disks
Disk    Disks            Progress   Remaining
Group   Reconstructing   (%)        (minutes)
-----   --------------   --------   ---------
dg9     3.7              77         142
-----   --------------   --------   ---------
@dd401-p0(active:0)# disk show hardware
Disk         Slot   Manufacturer/Model                        Firmware   Serial No.                 Capacity    Type
(enc/disk)
----------   ----   ---------------------------------------   --------   ------------------------   ---------   --------
1.1          0      SHSA
__________________________________
Полный текст обращения смотри в ""Оригинал письма.eml""",СХД,Диск,CKM00194300973
Гарантийный ремонт Т2,"Добрый день. 
 Прошу произвести гарантийный ремонт ноутбука: 
 1.       СИЛА НК2-1404 s/n C223014726 (Отклеилась защитная сетка на крышке, в связи с чем кулер цепляет и издает звук)",Ноутбук,Вентилятор,C223014726
